year,county_fips,state,county_name,Democrat,Republican,total,majority,percentage,d_percentage,r_percentage,sample
2016,55125,WISCONSIN,VILAS,4770,8169,12939,Republican,0.63134709,0.36865291,0.63134709,0.960347883
2016,31067,NEBRASKA,GAGE,2935,6380,9315,Republican,0.684916801,0.315083199,0.684916801,0.960258469
2000,1065,ALABAMA,HALE,4652,2984,7636,Democrat,0.609219487,0.609219487,0.390780513,0.960247991
2004,53003,WASHINGTON,ASOTIN,3319,5320,8639,Republican,0.615812015,0.384187985,0.615812015,0.960247172
2016,46105,SOUTH DAKOTA,PERKINS,188,1333,1521,Republican,0.876397107,0.123602893,0.876397107,0.960237108
2016,34033,NEW JERSEY,SALEM,11904,16381,28285,Republican,0.579140887,0.420859113,0.579140887,0.959878834
2012,37021,NORTH CAROLINA,BUNCOMBE,70625,54701,125326,Democrat,0.563530313,0.563530313,0.436469687,0.959696614
2000,27019,MINNESOTA,CARVER,12462,20790,33252,Republican,0.62522555,0.37477445,0.62522555,0.95965087
2000,16031,IDAHO,CASSIA,1087,5983,7070,Republican,0.846251768,0.153748232,0.846251768,0.959514934
2004,37023,NORTH CAROLINA,BURKE,11728,18922,30650,Republican,0.617357259,0.382642741,0.617357259,0.959503258
2016,36037,NEW YORK,GENESEE,7650,16915,24565,Republican,0.688581315,0.311418685,0.688581315,0.959443469
2012,4009,ARIZONA,GRAHAM,3609,8076,11685,Republican,0.69114249,0.30885751,0.69114249,0.959413632
2012,21109,KENTUCKY,JACKSON,612,4365,4977,Republican,0.877034358,0.122965642,0.877034358,0.95940884
2004,48437,TEXAS,SWISHER,626,1487,2113,Republican,0.70373876,0.29626124,0.70373876,0.959260504
2012,42125,PENNSYLVANIA,WASHINGTON,40345,53230,93575,Republican,0.568848517,0.431151483,0.568848517,0.959164689
2016,21099,KENTUCKY,HART,1730,5320,7050,Republican,0.754609929,0.245390071,0.754609929,0.959141534
2012,27017,MINNESOTA,CARLTON,11389,6586,17975,Democrat,0.633602225,0.633602225,0.366397775,0.959140586
2004,21113,KENTUCKY,JESSAMINE,5476,12972,18448,Republican,0.703165655,0.296834345,0.703165655,0.959136109
2016,38051,NORTH DAKOTA,MCINTOSH,235,1100,1335,Republican,0.823970037,0.176029963,0.823970037,0.95908056
2012,28013,MISSISSIPPI,CALHOUN,2586,4412,6998,Republican,0.630465847,0.369534153,0.630465847,0.959025944
2000,2023,ALASKA,DISTRICT 23,1282,2961,4243,Republican,0.697855291,0.302144709,0.697855291,0.959009344
2016,13153,GEORGIA,HOUSTON,22553,35430,57983,Republican,0.611041167,0.388958833,0.611041167,0.958955029
2000,19173,IOWA,TAYLOR,1247,1770,3017,Republican,0.586675505,0.413324495,0.586675505,0.958954932
2004,18091,INDIANA,LAPORTE,21114,20916,42030,Democrat,0.50235546,0.50235546,0.49764454,0.958879919
2000,21089,KENTUCKY,GREENUP,7164,7233,14397,Republican,0.502396333,0.497603667,0.502396333,0.958850721
2012,51067,VIRGINIA,FRANKLIN,9090,16718,25808,Republican,0.647783633,0.352216367,0.647783633,0.958837204
2008,20163,KANSAS,ROOKS,468,2068,2536,Republican,0.815457413,0.184542587,0.815457413,0.958823247
2016,13067,GEORGIA,COBB,160121,152912,313033,Democrat,0.51151476,0.51151476,0.48848524,0.958818222
2008,28047,MISSISSIPPI,HARRISON,22673,38757,61430,Republican,0.630913235,0.369086765,0.630913235,0.958791677
2012,29221,MISSOURI,WASHINGTON,3417,5071,8488,Republican,0.597431668,0.402568332,0.597431668,0.958664065
2016,26129,MICHIGAN,OGEMAW,3030,6827,9857,Republican,0.692604241,0.307395759,0.692604241,0.958591956
2008,17013,ILLINOIS,CALHOUN,1423,1221,2644,Democrat,0.538199697,0.538199697,0.461800303,0.958589551
2000,28155,MISSISSIPPI,WEBSTER,1426,3069,4495,Republican,0.682758621,0.317241379,0.682758621,0.958524856
2004,8075,COLORADO,LOGAN,2491,6168,8659,Republican,0.712322439,0.287677561,0.712322439,0.958504334
2008,26065,MICHIGAN,INGHAM,93994,46483,140477,Democrat,0.669105975,0.669105975,0.330894025,0.958474203
2016,38069,NORTH DAKOTA,PIERCE,431,1437,1868,Republican,0.769271949,0.230728051,0.769271949,0.958297911
2008,47083,TENNESSEE,HOUSTON,1678,1608,3286,Democrat,0.510651248,0.510651248,0.489348752,0.958261412
2000,51620,VIRGINIA,FRANKLIN,1763,1393,3156,Democrat,0.558618504,0.558618504,0.441381496,0.95824701
2000,39155,OHIO,TRUMBULL,57643,34654,92297,Democrat,0.624538176,0.624538176,0.375461824,0.958154215
2004,1119,ALABAMA,SUMTER,4527,1880,6407,Democrat,0.706570938,0.706570938,0.293429062,0.958131048
2004,20093,KANSAS,KEARNY,272,1177,1449,Republican,0.812284334,0.187715666,0.812284334,0.958124704
2016,38007,NORTH DAKOTA,BILLINGS,59,495,554,Republican,0.893501805,0.106498195,0.893501805,0.95809189
2012,2036,ALASKA,DISTRICT 36,3341,1386,4727,Democrat,0.706790776,0.706790776,0.293209224,0.958057083
2008,54013,WEST VIRGINIA,CALHOUN,993,1366,2359,Republican,0.579058923,0.420941077,0.579058923,0.957947221
2012,51590,VIRGINIA,DANVILLE,12218,7763,19981,Democrat,0.611480907,0.611480907,0.388519093,0.957947116
2000,6001,CALIFORNIA,ALAMEDA,342889,119279,462168,Democrat,0.741914196,0.741914196,0.258085804,0.957926792
2008,17149,ILLINOIS,PIKE,3024,4457,7481,Republican,0.595775966,0.404224034,0.595775966,0.957836401
2004,10003,DELAWARE,NEW CASTLE,146171,93070,239241,Democrat,0.610978051,0.610978051,0.389021949,0.957807536
2012,27059,MINNESOTA,ISANTI,8024,11675,19699,Republican,0.592669679,0.407330321,0.592669679,0.957806441
